Line_ModelName,Mode_Planned,Line_Name,Line_Description,Area
R322-1,BRT,מטרונית 302,מרכזית הקריות-מרכזית חוף הכרמל (דרך המנהרות),Haifa
R322-2,BRT,מטרונית 302,מרכזית חוף הכרמל-מרכזית הקריות (דרך המנהרות),Haifa
R323-1,BRT,מטרונית 303,מרכזית הקריות-הדר (דרך קרית ים),Haifa
R323-2,BRT,מטרונית 303,הדר-מרכזית הקריות (דרך קרית ים),Haifa
R324-1,BRT,מטרונית 304,מרכזית המפרץ-מרכזית חוף הכרמל (דרך חורב),Haifa
R324-2,BRT,מטרונית 304,מרכזית חוף הכרמל-מרכזית המפרץ (דרך חורב),Haifa
R325-1,BRT,מטרונית 305,הטכניון-בת גלים (דרך העצמאות),Haifa
R325-2,BRT,מטרונית 305,בת גלים-הטכניון (דרך העצמאות),Haifa
R326-1,BRT,מטרונית 306,האוניברסיטה-דרך צרפת (דרך מרכז הכרמל),Haifa
R326-2,BRT,מטרונית 306,דרך צרפת-האוניברסיטה (דרך מרכז הכרמל),Haifa
R327-1,BRT,מטרונית 307,מרכזית המפרץ-טירת כרמל (דרך ההגנה),Haifa
R327-2,BRT,מטרונית 307,טירת כרמל-מרכזית המפרץ (דרך ההגנה),Haifa
R328-1,BRT,מטרונית 308,מרכזית המפרץ-נאות כרמל (דרך ההגנה),Haifa
R328-2,BRT,מטרונית 308,נאות כרמל-מרכזית המפרץ (דרך ההגנה),Haifa
R329-1,BRT,מטרונית 309,עכו-מרכזית המפרץ,Haifa
R329-2,BRT,מטרונית 309,מרכזית המפרץ-עכו,Haifa
R330-1,BRT,מטרונית 310,יגור/רכסים-בת גלים,Haifa
R330-2,BRT,מטרונית 310,בת גלים-יגור/רכסים,Haifa
R331-1,BRT,מטרונית 311,גילעם-מרכז הכרמל (דרך המנהרות),Haifa
R331-2,BRT,מטרונית 311,מרכז הכרמל-גילעם (דרך המנהרות),Haifa
R1001-1,BRT,מטרונית 1001,גילעם-מרכזית הקריות (דרך הקריון),Haifa
