node,degree,n_lines,betweenness,closeness,pagerank,eigenvector,x,y,lines,modes,mode_score,hub_score
512059,2,2,0.004082,0.12074,0.00061,0.0,180658.707,671259.2,"Grn2-N, Grn2-S",LRT,5,0.262231
516004,2,2,0.002511,0.11897,0.000634,0.0,176380.8357,654954.0398,"ART1-1, ART1-2",LRT,5,0.262035
511002,2,2,0.021034,0.113072,0.00065,0.0,189158.707,666825.164,"Red-N, Red-S",LRT,5,0.262008
511055,4,2,0.024309,0.10601,0.000457,2e-06,175737.7894,640972.9208,"L2-N, L2-S",LRT,5,0.261938
1025,5,8,0.000213,0.079679,0.000633,9.1e-05,197390.9113,748444.457,"R325-1, R325-2, R327-1, R327-2, R328-1, R328-2, R330-1, R330-2",BRT,4,0.261753
511006,2,2,0.025562,0.11951,0.000557,0.0,186613.694,666658.156,"Red-N, Red-S",LRT,5,0.261739
31633,3,4,0.049545,0.061926,0.000719,3.6e-05,219749.9807,728090.351,"rail_10_1, rail_10_2, rail_7_1, rail_7_2",Suburban Rail,6,0.261595
51185,3,4,0.048776,0.08723,0.000641,0.0,219701.6886,633028.2309,"LRT41, LRT42, LRT51, LRT52",LRT,5,0.261527
51131,3,6,0.008761,0.080996,0.000731,0.0,215635.7519,629709.0358,"LRT11, LRT12, LRT21, LRT22, LRT81, LRT82",LRT,5,0.261273
511070,4,4,0.003815,0.087332,0.000635,0.0,167374.704,635701.2971,"L1-N, L1-S, L2-N, L2-S",LRT,5,0.261233
525240,4,2,0.005288,0.122882,0.000527,0.0,180761.1249,657675.1802,"Yelw-N, Yelw-S",BRT,4,0.261206
36354,3,10,0.001031,0.079788,0.000791,9.3e-05,199692.9411,747726.1306,"m0110a, m0120a, m0210a, m0220a, m0610a, m0620a, m0710a, m0720a, m0910a, m0920a",BRT,4,0.261051
512042,2,2,0.004329,0.120916,0.000596,0.0,180566.117,670967.818,"Grn2-N, Grn2-S",LRT,5,0.261004
525574,2,4,0.024619,0.116933,0.000707,0.0,187675.2299,667335.2899,"RG-RH1, RG-RH2, RH-RG1, RH-RG2",BRT,4,0.260933
512072,2,2,0.003814,0.12179,0.000586,0.0,179115.1281,655688.0907,"Grn1-N, Grn1-S",LRT,5,0.260929
36250,3,4,0.013795,0.09683,0.000844,0.0,193217.6447,704637.064,"brt051, brt052, brt061, brt062",BRT,4,0.260784
36648,7,2,0.000644,0.078316,0.000667,0.000337,200133.0407,746504.1571,"m0310a, m0510a",BRT,4,0.260721
525045,4,2,0.001556,0.114743,0.000628,1.1e-05,181562.9348,646631.6706,"BluRT1, BluRT2",BRT,4,0.260522
512234,3,2,0.003359,0.108905,0.000604,0.0,180373.9268,645021.3425,"Turquoise_N, Turquoise_S",LRT,5,0.260463
525494,4,1,0.01284,0.107586,0.000728,0.0,182860.8455,641909.1086,RH-GY1,BRT,4,0.260301
512274,2,4,0.087493,0.088701,0.000632,0.0,166549.8923,627843.2841,"Orange_N, Orange_S, RedN, RedS",LRT,5,0.260288
51143,4,4,0.002537,0.081809,0.000696,0.0,220366.2108,628898.5752,"LRT71, LRT72, LRT81, LRT82",LRT,5,0.260285
1022,3,10,0.000603,0.079541,0.000781,0.001486,200111.0645,747253.0974,"R321-1, R321-2, R325-1, R325-2, R327-1, R327-2, R328-1, R328-2, R330-1, R330-2",BRT,4,0.260128
525244,3,2,0.002146,0.125795,0.000624,0.0,183453.2338,666598.9138,"Yelw-N, Yelw-S",BRT,4,0.260124
515008,4,2,0.005162,0.11359,0.000628,0.0,184061.4,652539.6259,"BRT1-1, BRT1-2",BRT,4,0.260117
512180,2,4,0.081582,0.08104,0.000739,0.0,162562.9388,622704.0758,"Orange_N, Orange_S, RedN, RedS",LRT,5,0.260107
525579,3,4,0.034549,0.108788,0.000633,0.0,190369.1658,667140.4885,"RG-RH1, RG-RH2, RH-RG1, RH-RG2",BRT,4,0.259955
512046,2,2,0.009388,0.124645,0.000526,0.0,179984.009,658893.889,"Grn2-N, Grn2-S",LRT,5,0.259928
521002,4,1,0.010736,0.108033,0.00028,0.0,182785.3352,641894.7937,M1-RE-RA,Metro,6,0.259881
515048,3,2,0.001392,0.113882,0.000766,0.0,185094.9941,651876.3866,"BRT2-1, BRT2-2",BRT,4,0.259814
511043,2,4,0.039772,0.098904,0.000645,0.0,172965.1603,639846.435,"L1-N, L1-S, L2-N, L2-S",LRT,5,0.259786
51053,4,4,0.000416,0.081355,0.000703,0.0,220623.9692,628652.8022,"LRT31, LRT32, LRT81, LRT82",LRT,5,0.259764
467211,5,4,0.026021,0.060386,0.000743,0.0,180565.6727,572305.7775,"4.2_LRT_BRS-Shoket, 4.2_LRT_Shoket-BRS, 4.3_Ofakim-TelSheva, 4.3_TelSheva-Ofakim",LRT,5,0.259556
36708,5,3,0.002324,0.073807,0.000923,0.0,202236.9368,742523.8234,"m0810a, m0910a, m0920a",BRT,4,0.259482
525087,3,2,0.003212,0.120119,0.000683,0.0,182618.4794,657699.0079,"BluRT1, BluRT2",BRT,4,0.25945
36278,3,4,0.011018,0.089863,0.000922,0.0,196631.7217,706198.6299,"brt051, brt052, brt061, brt062",BRT,4,0.259379
525210,2,2,0.006469,0.110317,0.0007,0.0,184311.9518,644797.1337,"East-N, East-S",LRT,5,0.259318
36654,6,4,0.008818,0.081911,0.00062,0.000595,198418.4068,748369.7996,"m0110a, m0120a, m0620a, m0710a",BRT,4,0.259299
512249,3,1,0.000929,0.106543,0.000676,0.0,174862.3358,643046.4426,Light-Blue_S,LRT,5,0.259189
512060,2,2,0.004893,0.121523,0.000569,0.0,180441.682,670585.112,"Grn2-N, Grn2-S",LRT,5,0.259101
984889,3,4,0.022604,0.096698,0.000358,0.000114,195864.0606,710150.6025,"rail_11_1, rail_11_2, rail_12_1, rail_12_2",Suburban Rail,6,0.259081
51114,3,6,0.003073,0.08076,0.000729,0.0,217646.8639,628517.6118,"LRT31, LRT32, LRT71, LRT72, LRT81, LRT82",LRT,5,0.258985
525246,3,2,0.003327,0.124465,0.000624,0.0,183105.2001,664726.8626,"Yelw-N, Yelw-S",BRT,4,0.258788
