node,degree,n_lines,betweenness,closeness,pagerank,eigenvector,x,y,lines,modes,mode_score,hub_score
34089,3,2,0.000685,0.057639,0.000297,0.004654,196366.9223,744361.7665,"lrt04, lrt08",LRT,5,0.226518
512282,2,2,6.1e-05,0.04993,0.000551,0.0,158063.3579,617816.8603,"RedN, RedS",LRT,5,0.226089
525596,2,2,0.000774,0.067773,0.000674,0.0,197903.4455,666207.0597,"RG-RH2, RH-RG2",BRT,4,0.226082
44103,2,2,0.013921,0.054328,0.000666,0.0,218525.3046,748590.6365,"brt011, brt012",BRT,4,0.226035
525588,2,2,0.003085,0.072,0.000592,0.0,196811.2788,668786.1931,"RG-RH1, RH-RG1",BRT,4,0.225868
511059,3,1,0.000904,0.068943,0.000298,0.0,168373.26,631417.6946,L2-N,LRT,5,0.225862
51120,1,4,0.0,0.049993,0.000432,0.0,217243.0284,627421.8661,"LRT41, LRT42, LRT61, LRT62",LRT,5,0.225478
500109,3,2,0.004694,0.053596,0.000648,0.0,161699.9824,618793.9471,"BRT_Pink_E, BRT_Pink_W",BRT,4,0.225327
525593,2,2,0.003085,0.071542,0.000592,0.0,197217.2011,667656.8793,"RG-RH2, RH-RG2",BRT,4,0.225303
36514,2,2,0.001876,0.065834,0.000675,1e-06,206394.6773,748616.4046,"m0310a, m0320a",BRT,4,0.225223
511050,3,1,0.00011,0.069795,0.000291,0.0,168455.8502,631513.7929,L1-N,LRT,5,0.225133
36637,3,2,0.003898,0.061685,0.000557,0.000125,203857.0475,742759.2141,"m0510a, m0520a",BRT,4,0.224939
525475,2,1,0.003622,0.074125,0.000676,0.0,167938.2208,635263.3127,RH-GY1,BRT,4,0.224824
36222,2,2,0.000337,0.066383,0.000677,0.0,211145.95,746198.9,"m0210a, m0220a",BRT,4,0.224005
36638,3,2,0.004211,0.06303,0.000523,0.000954,203577.8277,743016.4775,"m0510a, m0520a",BRT,4,0.223792
467827,2,4,0.000299,0.015577,0.000683,0.0,176167.4985,574573.3407,"4.1_Arad-BS, 4.1_BS-Arad, 4.3_Ofakim-TelSheva, 4.3_TelSheva-Ofakim",LRT,5,0.223629
1001,2,2,5.1e-05,0.069339,0.000641,0.0,211813.8012,747425.0177,"R1002-1, R1002-2",BRT,4,0.223588
467791,2,4,0.000206,0.011176,0.000736,0.0,190543.7303,579526.9982,"4.1_Arad-BS, 4.1_BS-Arad, 4.2_LRT_BRS-Shoket, 4.2_LRT_Shoket-BRS",LRT,5,0.223539
44407,2,2,0.013666,0.052595,0.000666,0.0,219210.3876,748151.5288,"brt011, brt012",BRT,4,0.223502
525474,2,1,0.002861,0.072995,0.000685,0.0,168355.6513,634999.4755,RH-GY1,BRT,4,0.2234
36273,3,4,0.000294,0.012287,0.000927,0.0,195730.2441,705952.354,"brt051, brt052, brt061, brt062",BRT,4,0.223364
51213,2,1,0.000726,0.051211,0.000626,0.0,221839.1809,638373.5803,LRT10,LRT,5,0.223347
51212,2,1,0.000841,0.054228,0.000586,0.0,221677.974,637831.0482,LRT10,LRT,5,0.223084
512228,1,1,0.0,0.090971,0.000296,0.0,174704.957,639360.387,Turquoise_N,LRT,5,0.223047
36236,3,4,6.9e-05,0.009329,0.000961,0.0,191882.3717,705024.9536,"brt051, brt052, brt061, brt062",BRT,4,0.22298
51225,2,1,0.000125,0.03966,0.000768,0.0,220581.1381,640820.7411,LRT10,LRT,5,0.22297
500096,3,2,0.000586,0.054902,0.000661,0.0,161488.4664,620690.4945,"BRT_Blue_E, BRT_Blue_W",BRT,4,0.222893
51216,2,1,0.000609,0.048745,0.00065,0.0,221568.1315,638801.832,LRT10,LRT,5,0.222651
36636,3,2,0.003581,0.060387,0.000555,1.7e-05,204135.2417,742503.7095,"m0510a, m0520a",BRT,4,0.222602
500095,3,2,0.000316,0.054573,0.000665,0.0,161195.7345,620471.739,"BRT_Blue_E, BRT_Blue_W",BRT,4,0.222517
500193,3,2,0.002364,0.051288,0.000678,0.0,159437.532,617805.757,"BRT_Pink_E, BRT_Pink_W",BRT,4,0.222477
36642,5,1,0.008511,0.057592,0.000361,0.000658,196837.3462,744031.3912,m0410a,BRT,4,0.22153
51218,2,1,0.000371,0.044704,0.000691,0.0,221120.5442,639613.5473,LRT10,LRT,5,0.221486
51220,2,1,0.000491,0.046156,0.000671,0.0,221246.8344,639286.7353,LRT10,LRT,5,0.221431
51117,1,4,0.0,0.051522,0.000371,0.0,214078.3694,630241.3179,"LRT11, LRT12, LRT81, LRT82",LRT,5,0.221042
36742,3,2,0.0,0.059133,0.000599,0.0,203032.9194,742541.2873,"m0910a, m0920a",BRT,4,0.220935
15138,4,1,0.000853,0.05917,0.000575,2.5e-05,197535.6024,748481.9809,m0610a,BRT,4,0.22088
500088,2,2,0.001546,0.050775,0.000816,0.0,158303.7441,621213.8609,"BRT_Blue_E, BRT_Blue_W",BRT,4,0.220728
36924,2,4,0.000672,0.030084,0.000819,0.0,232737.4065,751893.0891,"brt011, brt012, brt021, brt022",BRT,4,0.220401
51221,2,1,0.000249,0.041326,0.000722,0.0,220579.7418,640329.1651,LRT10,LRT,5,0.220366
36162,3,2,0.000336,0.061659,0.000557,0.000125,203856.4291,742748.9387,"m0610a, m0620a",BRT,4,0.220202
525015,3,1,0.0,0.094202,0.000298,0.0,183112.4137,642110.4345,BluRT1,BRT,4,0.220112
525339,2,1,0.010672,0.094239,0.000299,0.0,191151.9169,665583.5253,BBEld1,BRT,4,0.219976
36531,2,2,0.00135,0.062428,0.000669,0.0,207680.939,750722.749,"m0310a, m0320a",BRT,4,0.21973
36090,2,2,0.003291,0.050268,0.000786,0.0,197427.7366,741494.9773,"m0610a, m0620a",BRT,4,0.219389
36879,2,2,0.013409,0.049455,0.000665,0.0,220637.4807,748893.0354,"brt011, brt012",BRT,4,0.21925
36263,3,4,0.000256,0.011394,0.000898,0.0,194363.2313,705545.3076,"brt051, brt052, brt061, brt062",BRT,4,0.219221
51211,2,1,0.000954,0.056606,0.000519,0.0,221729.6307,637424.3495,LRT10,LRT,5,0.219212
525472,2,1,0.000774,0.064627,0.000771,0.0,171628.9108,633045.5369,RH-GY1,BRT,4,0.219179
36164,3,2,0.000649,0.063007,0.000523,0.000954,203577.7345,743008.3271,"m0610a, m0620a",BRT,4,0.219059
190170,3,1,0.0,0.093307,0.000299,0.0,189766.9396,666969.587,BRT-2,BRT,4,0.219045
36243,3,4,0.000132,0.009791,0.000914,0.0,192508.0329,704859.3273,"brt051, brt052, brt061, brt062",BRT,4,0.218759
15878,5,1,0.00138,0.061609,0.000379,0.000138,198424.8565,748380.6351,m0610a,BRT,4,0.218716
36913,2,4,0.002322,0.033977,0.000733,0.0,228974.9159,751785.7556,"brt011, brt012, brt021, brt022",BRT,4,0.218483
